,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
48,TSLA,Closed,2021-11-09,150.81,2022-01-03,181.66,665.0,100288.648,20515.25,20.456,55,Take Profit
49,TSLA,Closed,2021-11-11,147.87,2021-12-27,179.49,671.0,99220.767,21217.02,21.384,46,Take Profit
50,TSLA,Closed,2021-12-06,165.32,2023-12-29,192.53,608.0,100514.564,16543.68,16.459,753,End of Data
51,TSLA,Closed,2021-12-07,171.18,2023-12-29,192.53,591.0,101167.376,12617.85,12.472,752,End of Data
52,TSLA,Closed,2021-12-08,175.08,2023-12-29,192.53,580.0,101546.401,10121.0,9.967,751,End of Data
53,TSLA,Closed,2021-12-22,175.64,2023-12-29,192.53,577.0,101344.28,9745.53,9.616,737,End of Data
54,TSLA,Closed,2021-12-23,176.28,2023-12-29,192.53,568.0,100127.039,9230.0,9.218,736,End of Data
55,TSLA,Closed,2022-06-08,147.96,2023-12-29,192.53,673.0,99577.085,29995.61,30.123,569,End of Data
56,TSLA,Closed,2022-06-09,142.64,2023-12-29,192.53,679.0,96852.56,33875.31,34.976,568,End of Data
57,TSLA,Closed,2022-07-25,152.95,2023-12-29,192.53,649.0,99264.548,25687.42,25.878,522,End of Data
58,TSLA,Closed,2022-08-10,169.24,2022-12-28,129.81,596.0,100867.043,-23500.28,-23.298,140,Stop Loss
59,TSLA,Closed,2022-08-18,174.15,2022-09-30,139.38,575.0,100136.246,-19992.75,-19.966,43,Stop Loss
60,TSLA,Closed,2023-04-19,167.63,2023-12-29,192.53,603.0,101080.893,15014.7,14.854,254,End of Data
61,TSLA,Closed,2023-05-16,172.07,2023-12-29,192.53,581.0,99972.674,11887.26,11.891,227,End of Data
62,TSLA,Closed,2023-10-16,178.72,2023-12-29,192.53,565.0,100976.801,7802.65,7.727,74,End of Data
63,TSLA,Closed,2023-10-18,175.84,2023-12-29,192.53,569.0,100052.958,9496.61,9.492,72,End of Data
64,TSLA,Closed,2023-11-07,181.82,2023-12-29,192.53,558.0,101455.564,5976.18,5.89,52,End of Data
65,TSLA,Closed,2023-11-10,186.4,2023-12-29,192.53,543.0,101215.197,3328.59,3.289,49,End of Data
66,TSLA,Closed,2023-11-17,189.69,2023-12-29,192.53,525.0,99587.251,1491.0,1.497,42,End of Data
